EXAMPLE AND TEMPLATE,,,Norme aka lengthe ,Angle ,,,real ,Imaginarey
,,,7,23,0.40142572795869574,,-3.7298311423337829,-5.9235428292261947
,,,6,23,0.40142572795869574,,-3.1969981220003851,-5.0773224250510243
,,,24,32,0.55850536063818546,,20.021360652156247,13.234240349800574
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,

X,Y,,X,Y,,X,Y,,X,Y
0,0,,0,0,,0,0,,0,0
-3.7298311423337829,-5.9235428292261947,,-3.1969981220003851,-5.0773224250510243,,20.021360652156247,13.234240349800574,,13.094531387822078,2.2333750955233551

